,title,description,date,link
0,"21 augusti 10:01, Brand, Strängnäs",Larm om brand i Strängnäs.,"Fri, 21 Aug 2020 10:03:31 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-1001-brand-strangnas/
1,"21 augusti 09:51, Trafikolycka, Borlänge",En olycka har skett i Tjärna ängar.,"Fri, 21 Aug 2020 10:02:35 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0951-trafikolycka-borlange/
2,"21 augusti 09:42, Trafikolycka, personskada, Staffanstorp","Person påkörd av tåg, Hjärup.","Fri, 21 Aug 2020 10:00:19 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0942-trafikolycka-personskada-staffanstorp/
3,"21 augusti 09:55, Sammanfattning vecka, Östhammar",Polisrutan Östhammar:,"Fri, 21 Aug 2020 09:58:01 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0955-sammanfattning-vecka-osthammar/
4,"21 augusti 08:36, Trafikbrott, Boden",Ordningsbot för hastighetsöverträdelse på riksväg 97.,"Fri, 21 Aug 2020 09:57:04 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0836-trafikbrott-boden/
5,"21 augusti 08:14, Mord/dråp, Stockholm",En person har hittats död i vattnet vid Mälarhöjdsbadet.,"Fri, 21 Aug 2020 09:45:47 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0814-morddrap-stockholm/
6,"20 augusti 23:51, Olaga frihetsberövande/människorov, Järfälla",Larm om att en person blivit medtagen mot sin vilja i en bil i Barkarby. Bilen stoppas och fyra personer grips.,"Fri, 21 Aug 2020 09:12:11 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2351-olaga-frihetsberovandemanniskorov-jarfalla/
7,"21 augusti 07:37, Ofredande/förargelse, Uppsala",En kvinna träffar på en onanerande man.,"Fri, 21 Aug 2020 08:53:26 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0737-ofredandeforargelse-uppsala/
8,"21 augusti 03:34, Misshandel, Uppsala",En man blir misshandlad på Kvarngärdet.,"Fri, 21 Aug 2020 08:49:16 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0334-misshandel-uppsala/
9,"21 augusti 06:50, Stöld/inbrott, Enköping",En bil stjäls vid ett villainbrott.,"Fri, 21 Aug 2020 08:38:25 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0650-stoldinbrott-enkoping/
10,"21 augusti 08:12, Uppdatering, Jönköping",Uppdatering gällande händelsen i Huskvarna. Tid och plats för intervjuer.,"Fri, 21 Aug 2020 08:16:25 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0812-uppdatering-jonkoping/
11,"20 augusti 22:18, Misshandel, Filipstad",En man har blivit misshandlad på ett boende i Fogdhyttan.,"Fri, 21 Aug 2020 08:03:27 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2218-misshandel-filipstad/
12,"Uppdaterad 21 augusti 07:58: 21 augusti 06:53, Brand, Eskilstuna",Fullt utvecklad brand.,"Fri, 21 Aug 2020 07:58:16 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0653-brand-eskilstuna/
13,"21 augusti 06:57, Inbrott, Arvika",Det har varit ett inbrott på ett museúm i Högåsen.,"Fri, 21 Aug 2020 07:55:43 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0657-inbrott-arvika/
14,"Uppdaterad 21 augusti 07:55: 21 augusti 07:50, Trafikolycka, Ystad","Olycka mellan personbil och EPA-traktor, Dragongatan.","Fri, 21 Aug 2020 07:55:31 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0750-trafikolycka-ystad/
15,"21 augusti 04:42, Skadegörelse, Västerås",Ungdomar kastar sten på buss.,"Fri, 21 Aug 2020 07:50:01 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0442-skadegorelse-vasteras/
16,"21 augusti 04:57, Stöld/inbrott, Örebro",Det har varit ett inbrott i ishallen Trängen.,"Fri, 21 Aug 2020 07:41:03 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0457-stoldinbrott-orebro/
17,"21 augusti 07:36, Sammanfattning natt, Norrbottens län",Nattens polisverksamhet klockan 00-07.,"Fri, 21 Aug 2020 07:37:35 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0736-sammanfattning-natt-norrbottens-lan/
18,"20 augusti 23:02, Motorfordon, stöld, Rättvik",Några personer har stulit en moped i centrala Rättvik.,"Fri, 21 Aug 2020 07:31:31 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2302-motorfordon-stold-rattvik/
19,"21 augusti 07:30, Sammanfattning natt, Västernorrland län",Ett urval av nattens polisverksamhet klockan 00-07.,"Fri, 21 Aug 2020 07:31:22 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0730-sammanfattning-natt-vasternorrland-lan/
20,"21 augusti 05:56, Räddningsinsats, Stockholm",Polis är på plats vid tunnelbanan Gullmarsplan på grund av ett sjukdomsfall/olycksfall.,"Fri, 21 Aug 2020 07:21:45 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0556-raddningsinsats-stockholm/
21,"20 augusti 22:46, Rattfylleri, Mora",En bilist är misstänkt för att ha kört bil i påverkat tillstånd i Noret.,"Fri, 21 Aug 2020 07:20:25 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2246-rattfylleri-mora/
22,"21 augusti 07:19, Sammanfattning natt, Västerbottens län",Ett urval av nattens polisverksamhet klockan 00-07.,"Fri, 21 Aug 2020 07:20:24 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0719-sammanfattning-natt-vasterbottens-lan/
23,"21 augusti 01:35, Rattfylleri, Ludvika",En bilist är misstänkt för att ha kört bil i påverkat tillstånd i Sunnansjö.,"Fri, 21 Aug 2020 07:17:41 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0135-rattfylleri-ludvika/
24,"21 augusti 02:04, Våldtäkt, försök, Stockholm",Två personer har stämt träff i Johanneshov via sociala medier. På plats sker ett försök till våldtäkt och mannen grips.,"Fri, 21 Aug 2020 07:17:04 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0204-valdtakt-forsok-stockholm/
25,"20 augusti 22:18, Motorfordon, anträffat stulet, Håbo",En stulen bil är preparerad för att brinna.,"Fri, 21 Aug 2020 07:10:27 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2218-motorfordon-antraffat-stulet-habo/
26,"20 augusti 23:24, Olaga intrång, Älvkarleby",Några personer har tagit sig in på en bilskrot.,"Fri, 21 Aug 2020 07:10:21 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2324-olaga-intrang-alvkarleby/
27,"21 augusti 01:15, Rattfylleri, Västerås",En bilförare krockar med en lyktstolpe.,"Fri, 21 Aug 2020 07:10:15 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0115-rattfylleri-vasteras/
28,"21 augusti 04:44, Trafikolycka, personskada, Uppsala",En man skadas vid en trafikolycka.,"Fri, 21 Aug 2020 07:10:10 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0444-trafikolycka-personskada-uppsala/
29,"21 augusti 05:26, Trafikolycka, Nordanstig",Två lastbilar krockar på E4 i Gnarp.,"Fri, 21 Aug 2020 07:10:05 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0526-trafikolycka-nordanstig/
30,"21 augusti 00:09, Rattfylleri, Avesta",En bilist är misstänkt för att ha kört bil i påverkat tillstånd i Nordanö,"Fri, 21 Aug 2020 07:08:11 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0009-rattfylleri-avesta/
31,"21 augusti 07:04, Sammanfattning natt, Jämtlands län",Ett urval av nattens polisverksamhet klockan 00-07.,"Fri, 21 Aug 2020 07:05:01 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0704-sammanfattning-natt-jamtlands-lan/
32,"Uppdaterad 21 augusti 06:58: 21 augusti 06:08, Sammanfattning natt, Jönköpings län",En sammanfattning av nattens händelser.,"Fri, 21 Aug 2020 06:58:08 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0608-sammanfattning-natt-jonkopings-lan/
33,"21 augusti 06:12, Trafikolycka, singel, Skövde",På riksväg 26 vid trafikplats Skövde södra har en bilist kört av vägen.,"Fri, 21 Aug 2020 06:57:24 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0612-trafikolycka-singel-skovde/
34,"21 augusti 06:53, Sammanfattning natt, Östergötlands län",En sammanfattning av nattens händelser.,"Fri, 21 Aug 2020 06:53:05 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0653-sammanfattning-natt-ostergotlands-lan/
35,"21 augusti 06:52, Sammanfattning natt, Södermanlands län",En sammanfattning av nattens händelser.,"Fri, 21 Aug 2020 06:52:56 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0652-sammanfattning-natt-sodermanlands-lan/
36,"21 augusti 01:07, Rattfylleri, Växjö","Misstänkt rattfylleri, Teleborg.","Fri, 21 Aug 2020 06:45:53 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0107-rattfylleri-vaxjo/
37,"21 augusti 00:20, Misshandel, Skurup","Man gripen misstänkt för misshandel, Stora Torggatan.","Fri, 21 Aug 2020 06:45:48 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0020-misshandel-skurup/
38,"21 augusti 01:00, Rattfylleri, Kalmar","Misstänkt drograttfylleri, centrum.","Fri, 21 Aug 2020 06:45:07 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0100-rattfylleri-kalmar/
39,"21 augusti 05:45, Sammanfattning kväll och natt, Västra Götalands län",Dagens presstalesperson är Peter Adlersson och till kvällen kommer Anna Göransson.,"Fri, 21 Aug 2020 06:22:31 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0545-sammanfattning-kvall-och-natt-vastra-gotalands-lan/
40,"21 augusti 05:45, Sammanfattning kväll och natt, Hallands län",Dagens presstalesperson är Peter Adlersson och till kvällen kommer Anna Göransson.,"Fri, 21 Aug 2020 06:22:17 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/21/21-augusti-0545-sammanfattning-kvall-och-natt-hallands-lan/
41,"20 augusti 22:22, Vapenlagen, Gävle",Män rör sig med ett vapen i Hemlingbybacken.,"Thu, 20 Aug 2020 23:01:47 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2222-vapenlagen-gavle/
42,"20 augusti 22:28, Trafikolycka, personskada, Uppsala",En personbil voltar på Bärbyleden.,"Thu, 20 Aug 2020 22:53:22 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2228-trafikolycka-personskada-uppsala/
43,"20 augusti 22:42, Övrigt, Jönköpings län",Polisens presstjänst.,"Thu, 20 Aug 2020 22:43:34 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2242-ovrigt-jonkopings-lan/
44,"20 augusti 22:42, Övrigt, Östergötlands län",Polisens presstjänst.,"Thu, 20 Aug 2020 22:43:03 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2242-ovrigt-ostergotlands-lan/
45,"20 augusti 22:42, Övrigt, Södermanlands län",Polisens presstjänst.,"Thu, 20 Aug 2020 22:42:44 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2242-ovrigt-sodermanlands-lan/
46,"Uppdaterad 20 augusti 22:36: 20 augusti 22:35, Polisinsats/kommendering, Jönköping",En person gripen efter våldsbrott i Huskvarna.,"Thu, 20 Aug 2020 22:36:38 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2235-polisinsatskommendering-jonkoping/
47,"20 augusti 21:45, Övrigt, Hallands län",Hemsidan uppdateras inte mer idag. Samtal från media besvaras av vakthavande befäl i mån av tid.,"Thu, 20 Aug 2020 21:46:02 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2145-ovrigt-hallands-lan/
48,"20 augusti 21:45, Övrigt, Västra Götalands län",Hemsidan uppdateras inte mer idag. Samtal från media besvaras av vakthavande befäl i mån av tid.,"Thu, 20 Aug 2020 21:45:54 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2145-ovrigt-vastra-gotalands-lan/
49,"20 augusti 21:30, Skadegörelse, Nyköping",skadegörelse på Oppebyskolan.,"Thu, 20 Aug 2020 21:34:08 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2130-skadegorelse-nykoping/
50,"20 augusti 20:56, Rattfylleri, Älvsbyn","Man misstänkt för grov drog rattfylleri, grov olovlig körning, ringa narkotikabrott och vårdslöshet i trafik.","Thu, 20 Aug 2020 21:11:26 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-2056-rattfylleri-alvsbyn/
51,"Uppdaterad 20 augusti 20:55: 20 augusti 18:14, Farligt föremål, misstänkt, Karlstad",Farligt föremål område Hagalund,"Thu, 20 Aug 2020 20:55:07 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1814-farligt-foremal-misstankt-karlstad/
52,"Uppdaterad 20 augusti 20:53: 20 augusti 18:52, Skottlossning, Göteborg",Larm om skottlossning på Akkas gata.,"Thu, 20 Aug 2020 20:53:45 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1852-skottlossning-goteborg/
53,"20 augusti 19:19, Skadegörelse, Västerås",En patient på psyk slår omkring sig med ett bordsben.,"Thu, 20 Aug 2020 20:49:00 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1919-skadegorelse-vasteras/
54,"20 augusti 19:25, Rån, Salem",Två personer gripna efter personrån i Rönninge.,"Thu, 20 Aug 2020 20:46:10 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1925-ran-salem/
55,"20 augusti 19:40, Trafikolycka, Stockholms län",Två personbilar har krockat på Bergslagsvägen i Bromma.,"Thu, 20 Aug 2020 20:26:37 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1940-trafikolycka-stockholms-lan/
56,"20 augusti 19:05, Olaga hot, Lysekil",På Norra Hamngatan har en man i 25-årsåldern gripits för grovt olaga hot.,"Thu, 20 Aug 2020 20:11:01 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1905-olaga-hot-lysekil/
57,"20 augusti 19:02, Trafikolycka, Östersund",Mopedist och cyklist i olycka i Torvalla.,"Thu, 20 Aug 2020 20:10:42 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1902-trafikolycka-ostersund/
58,"20 augusti 19:04, Trafikolycka, singel, Enköping",En bilförare kör över en gräsmatta.,"Thu, 20 Aug 2020 19:46:10 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1904-trafikolycka-singel-enkoping/
59,"20 augusti 17:49, Knivlagen, Östersund","Östersund, man misstänks för brott mot knivlagen.","Thu, 20 Aug 2020 19:45:05 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1749-knivlagen-ostersund/
60,"Uppdaterad 20 augusti 19:40: 20 augusti 14:38, Inbrott, Storuman",Inbrott i villa på Timotejvägen i Storuman.,"Thu, 20 Aug 2020 19:40:12 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1438-inbrott-storuman/
